Source Table,Source Column Name,Source Data Type,Join Conditions,Target Table Name,Target Column Name,Target Data Type,Column Description,Business Key,Surrogate Key,Join Logic,Additional Column 1,Additional Column 2
INT_CUST_SAT,CUST_ID,VARCHAR,"INT_CUST_SAT.CUST_ID = INT_CUST_ADDR_LSAT.CUST_ID [Tables Involved: INT_CUST_ADDR_LSAT, INT_CUST_SAT]",ACCESS_ENRICH_CUST,CUST_ID,VARCHAR,Unique identifier for customer,CUST_ID,SK_ACCESS_ENRICH_CUST,INT_CUST_SAT.CUST_ID = INT_CUST_ADDR_LSAT.CUST_ID AND INT_CUST_ADDR_LSAT.ADDR_ID = INT_ADDR_SAT.ADDR_ID,Customer Segment,Customer Risk Score
INT_CUST_SAT,FULL_NAME,VARCHAR,,ACCESS_ENRICH_CUST,CUST_NAME,VARCHAR,Full name of the customer,CUST_ID,SK_ACCESS_ENRICH_CUST,INT_CUST_SAT.CUST_ID = INT_CUST_ADDR_LSAT.CUST_ID AND INT_CUST_ADDR_LSAT.ADDR_ID = INT_ADDR_SAT.ADDR_ID,Customer Segment,Customer Risk Score
INT_CUST_SAT,CUST_TYPE,VARCHAR,,ACCESS_ENRICH_CUST,CUST_TYPE,VARCHAR,Type of customer,CUST_ID,SK_ACCESS_ENRICH_CUST,INT_CUST_SAT.CUST_ID = INT_CUST_ADDR_LSAT.CUST_ID AND INT_CUST_ADDR_LSAT.ADDR_ID = INT_ADDR_SAT.ADDR_ID,Customer Segment,Customer Risk Score
INT_CUST_SAT,EMAIL_ADDR,VARCHAR,,ACCESS_ENRICH_CUST,EMAIL,VARCHAR,Email address of the customer,CUST_ID,SK_ACCESS_ENRICH_CUST,INT_CUST_SAT.CUST_ID = INT_CUST_ADDR_LSAT.CUST_ID AND INT_CUST_ADDR_LSAT.ADDR_ID = INT_ADDR_SAT.ADDR_ID,Customer Segment,Customer Risk Score
INT_CUST_SAT,PHONE_NUM,VARCHAR,,ACCESS_ENRICH_CUST,PHONE,VARCHAR,Phone number of the customer,CUST_ID,SK_ACCESS_ENRICH_CUST,INT_CUST_SAT.CUST_ID = INT_CUST_ADDR_LSAT.CUST_ID AND INT_CUST_ADDR_LSAT.ADDR_ID = INT_ADDR_SAT.ADDR_ID,Customer Segment,Customer Risk Score
INT_CUST_ADDR_LSAT,ADDR_ID,VARCHAR,"INT_CUST_ADDR_LSAT.ADDR_ID = INT_ADDR_SAT.ADDR_ID [Tables Involved: INT_ADDR_SAT, INT_CUST_ADDR_LSAT]",ACCESS_ENRICH_CUST,ADDR_ID,VARCHAR,Address identifier,CUST_ID,SK_ACCESS_ENRICH_CUST,INT_CUST_SAT.CUST_ID = INT_CUST_ADDR_LSAT.CUST_ID AND INT_CUST_ADDR_LSAT.ADDR_ID = INT_ADDR_SAT.ADDR_ID,Customer Segment,Customer Risk Score
INT_CUST_ADDR_LSAT,ADDR_TYPE,VARCHAR,,ACCESS_ENRICH_CUST,ADDR_TYPE,VARCHAR,"Type of address (e.g., Residential, Mailing)",CUST_ID,SK_ACCESS_ENRICH_CUST,INT_CUST_SAT.CUST_ID = INT_CUST_ADDR_LSAT.CUST_ID AND INT_CUST_ADDR_LSAT.ADDR_ID = INT_ADDR_SAT.ADDR_ID,Customer Segment,Customer Risk Score
INT_ADDR_SAT,STREET_NAME,VARCHAR,,ACCESS_ENRICH_CUST,STREET,VARCHAR,Street name of the address,CUST_ID,SK_ACCESS_ENRICH_CUST,INT_CUST_SAT.CUST_ID = INT_CUST_ADDR_LSAT.CUST_ID AND INT_CUST_ADDR_LSAT.ADDR_ID = INT_ADDR_SAT.ADDR_ID,Customer Segment,Customer Risk Score
INT_ADDR_SAT,CITY_NAME,VARCHAR,,ACCESS_ENRICH_CUST,CITY,VARCHAR,City name of the address,CUST_ID,SK_ACCESS_ENRICH_CUST,INT_CUST_SAT.CUST_ID = INT_CUST_ADDR_LSAT.CUST_ID AND INT_CUST_ADDR_LSAT.ADDR_ID = INT_ADDR_SAT.ADDR_ID,Customer Segment,Customer Risk Score
INT_ADDR_SAT,STATE_CODE,VARCHAR,,ACCESS_ENRICH_CUST,STATE,VARCHAR,State code of the address,CUST_ID,SK_ACCESS_ENRICH_CUST,INT_CUST_SAT.CUST_ID = INT_CUST_ADDR_LSAT.CUST_ID AND INT_CUST_ADDR_LSAT.ADDR_ID = INT_ADDR_SAT.ADDR_ID,Customer Segment,Customer Risk Score
INT_ADDR_SAT,POSTAL_CODE,VARCHAR,,ACCESS_ENRICH_CUST,POSTCODE,VARCHAR,Postal code of the address,CUST_ID,SK_ACCESS_ENRICH_CUST,INT_CUST_SAT.CUST_ID = INT_CUST_ADDR_LSAT.CUST_ID AND INT_CUST_ADDR_LSAT.ADDR_ID = INT_ADDR_SAT.ADDR_ID,Customer Segment,Customer Risk Score
INT_ADDR_SAT,COUNTRY_NAME,VARCHAR,,ACCESS_ENRICH_CUST,COUNTRY,VARCHAR,Country name of the address,CUST_ID,SK_ACCESS_ENRICH_CUST,INT_CUST_SAT.CUST_ID = INT_CUST_ADDR_LSAT.CUST_ID AND INT_CUST_ADDR_LSAT.ADDR_ID = INT_ADDR_SAT.ADDR_ID,Customer Segment,Customer Risk Score
INT_CUST_ADDR_LSAT,IS_PRIMARY,BOOLEAN,,ACCESS_ENRICH_CUST,IS_PRIMARY_ADDR,BOOLEAN,Flag indicating if this is the primary address,CUST_ID,SK_ACCESS_ENRICH_CUST,INT_CUST_SAT.CUST_ID = INT_CUST_ADDR_LSAT.CUST_ID AND INT_CUST_ADDR_LSAT.ADDR_ID = INT_ADDR_SAT.ADDR_ID,Customer Segment,Customer Risk Score
INT_CUST_ADDR_LSAT,EFFECTIVE_DATE,DATE,,ACCESS_ENRICH_CUST,ADDR_EFFECTIVE_DATE,DATE,Date when address became active,CUST_ID,SK_ACCESS_ENRICH_CUST,INT_CUST_SAT.CUST_ID = INT_CUST_ADDR_LSAT.CUST_ID AND INT_CUST_ADDR_LSAT.ADDR_ID = INT_ADDR_SAT.ADDR_ID,Customer Segment,Customer Risk Score
INT_CUST_ADDR_LSAT,END_DATE,DATE,,ACCESS_ENRICH_CUST,ADDR_END_DATE,DATE,Date when address was deactivated,CUST_ID,SK_ACCESS_ENRICH_CUST,INT_CUST_SAT.CUST_ID = INT_CUST_ADDR_LSAT.CUST_ID AND INT_CUST_ADDR_LSAT.ADDR_ID = INT_ADDR_SAT.ADDR_ID,Customer Segment,Customer Risk Score
Derived,'ACCESS_ENRICH_CUST',VARCHAR,,ACCESS_ENRICH_CUST,RECORD_SOURCE,VARCHAR,Static value indicating source of record,CUST_ID,SK_ACCESS_ENRICH_CUST,INT_CUST_SAT.CUST_ID = INT_CUST_ADDR_LSAT.CUST_ID AND INT_CUST_ADDR_LSAT.ADDR_ID = INT_ADDR_SAT.ADDR_ID,Customer Segment,Customer Risk Score
Derived,CURRENT_DATE,DATE,,ACCESS_ENRICH_CUST,LOAD_DATE,DATE,Timestamp of ETL load,CUST_ID,SK_ACCESS_ENRICH_CUST,INT_CUST_SAT.CUST_ID = INT_CUST_ADDR_LSAT.CUST_ID AND INT_CUST_ADDR_LSAT.ADDR_ID = INT_ADDR_SAT.ADDR_ID,Customer Segment,Customer Risk Score
INT_CUST_SAT,SRC_EFF_FROM_DTTM,DATETIME,,ACCESS_ENRICH_CUST,SOURCE_EFFECTIVE_FROM_DTTM,DATETIME,Source system effective from timestamp,CUST_ID,SK_ACCESS_ENRICH_CUST,INT_CUST_SAT.CUST_ID = INT_CUST_ADDR_LSAT.CUST_ID AND INT_CUST_ADDR_LSAT.ADDR_ID = INT_ADDR_SAT.ADDR_ID,Customer Segment,Customer Risk Score
INT_CUST_SAT,SRC_EFF_TO_DTTM,DATETIME,,ACCESS_ENRICH_CUST,SOURCE_EFFECTIVE_TO_DTTM,DATETIME,Source system effective to timestamp,CUST_ID,SK_ACCESS_ENRICH_CUST,INT_CUST_SAT.CUST_ID = INT_CUST_ADDR_LSAT.CUST_ID AND INT_CUST_ADDR_LSAT.ADDR_ID = INT_ADDR_SAT.ADDR_ID,Customer Segment,Customer Risk Score
INT_CUST_SAT,RDH_EFF_FROM_DTTM,DATETIME,,ACCESS_ENRICH_CUST,RDH_EFFECTIVE_FROM_DTTM,DATETIME,RDH effective from timestamp,CUST_ID,SK_ACCESS_ENRICH_CUST,INT_CUST_SAT.CUST_ID = INT_CUST_ADDR_LSAT.CUST_ID AND INT_CUST_ADDR_LSAT.ADDR_ID = INT_ADDR_SAT.ADDR_ID,Customer Segment,Customer Risk Score
